zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,fax,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,preMarketPrice,logo_url,address2,err,quoteSourceName,averageDailyVolume3Month,regularMarketTime,regularMarketChange,currencySymbol,exchangeDataDelayedBy,postMarketChange,postMarketPrice,exchangeName,preMarketChange,regularMarketSource,marketState,underlyingSymbol,preMarketSource,regularMarketChangePercent,preferredPosition,bondPosition,convertiblePosition,sectorWeightings,holdings,bondHoldings,bondRatings,equityHoldings,otherPosition,cashPosition,stockPosition,underlyingExchangeSymbol,headSymbol,uuid,postMarketTime,postMarketSource,postMarketChangePercent,preMarketTime,preMarketChangePercent
15212-5858,Basic Materials,12900,"Alcoa Corporation, together with its subsidiaries, produces and sells bauxite, alumina, and aluminum products in the United States, Spain, Australia, Brazil, Canada, and internationally. The company operates through three segments: Bauxite, Alumina, and Aluminum. It engages in bauxite mining operations; and processes bauxite into alumina and sells it to customers who process it into industrial chemical products, as well as aluminum smelting, casting, and rolling businesses. The company offers primary aluminum in the form of alloy ingot or value-add ingot to customers that produce products for the transportation, building and construction, packaging, wire, and other industrial markets; and flat-rolled aluminum sheets to customers that produce beverage and food cans. In addition, it owns hydro power plants that produce and sell electricity to the wholesale market to traders, large industrial consumers, distribution companies, and other generation companies. The company was formerly known as Alcoa Upstream Corporation and changed its name to Alcoa Corporation in October 2016. The company was founded in 1888 and is headquartered in Pittsburgh, Pennsylvania.",Pittsburgh,412-315-2900,PA,United States,[],http://www.alcoa.com,1,201 Isabella Street,,Aluminum,0.19243,0.072919995,0.22358,393000000,0.315,0.13272001,2156000000,50.3,buy,1362000000,1317124992,59,49.25,,1.463,0.06534,11,57.75,31.588,0.18244,63,1452000000,1724999936,11203999744,7.762,USD,60.05,0.79,2,NYQ,Alcoa Corporation,Alcoa Corporation,America/New_York,EDT,FALSE,-14400000,EQUITY,AA,finmb_369991357,us_market,,0.988,,5.134,2.7884614,,6.65,,187060000,,,,20.731,9372080,0.0502,,1609372800,0.79483,817000000,4.32,0.09,0.33635402,2.3756692,0.00962,1672444800,,1632960000,1.18,1630368000,185713212,2.576155,11068706816,2,,1477958400,1000:801,,1478044800,,,0.82226926,1632960000,0.04,,7.406015,,0.050300002,11076576,,,,49.99,50.49,40.76971,0.00720144,0,,50.99,,12991300,49.99,49.312943,0.36,50.49,,12991300,,,0.4,1635379200,,,48.87,USD,11.400462,7366456,,,,9212704768,,,7802420,48.87,0,900,7366456,57.57,,,12.15,0,FALSE,0.008,800,50.99,49.25,,https://logo.clearbit.com/alcoa.com,Suite 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77478,Technology,2682,"Applied Optoelectronics, Inc. designs, manufactures, and sells various fiber-optic networking products worldwide. It offers optical modules, lasers, subassemblies, transmitters and transceivers, and turn-key equipment, as well as headend, node, and distribution equipment. The company sells its products to internet data center operators, cable television and telecom equipment manufacturers, and internet service providers through its direct and indirect sales channels. Applied Optoelectronics, Inc. was incorporated in 1997 and is headquartered in Sugar Land, Texas.",Sugar Land,281 295 1800,TX,United States,[],http://www.ao-inc.com,1,13139 Jess Pirtle Boulevard,,Semiconductors,-0.09526,-0.20135,0.22319001,-35122000,-0.169,-0.20456,-22178000,7,hold,50541000,-36835500,8,7.5,,2.301,-0.06258,7,15.71,55.808,-0.17534,57,44013000,154751008,232824000,1.622,USD,9.343,1.021,2.7,NGM,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc.",America/New_York,EDT,FALSE,-14400000,EQUITY,AAOI,finmb_1043391,us_market,,1.35,,-14.172,-0.25149703,,-0.44,,27141400,,,,10.301,4569978,0.1684,,1609372800,0.49085,-46880000,-1.881,,0.33635402,0.7280847,0.0502,1672444800,,1625011200,12.88,1630368000,25994917,1.792063,314298272,2,,,,,,,,0.8743106,1632960000,-0.68,,-17.045454,,0.2016,4502212,,,,7.52,7.5,7.6554317,,0,,7.61,,271116,7.52,7.2058825,,7.5,,271116,,,,,,,7.47,USD,,432107,,,,203560496,,,412954,7.47,0,800,432107,13.949,,,6.39,0,FALSE,,900,7.61,7.5,,https://logo.clearbit.com/ao-inc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27604,Consumer Cyclical,40000,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of January 2, 2021, it operated 4,806 stores and 170 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,277 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina.",Raleigh,540 362 4911,NC,United States,[],http://www.advanceautoparts.com,1,2635 East Millbrook Road,,Specialty Retail,0.11252,0.05732,0.44919997,1297636992,0.059,0.089540005,1224953984,138,buy,4484775000,903600640,247,231.97,0,1.27,0.05126,17,236.12,108.66,0.1776,276,809286976,3587490048,10886844416,12.957,USD,162.945,0.329,2.2,NYQ,Advance Auto Parts Inc.,"Advance Auto Parts, Inc.",America/New_York,EDT,FALSE,-14400000,EQUITY,AAP,finmb_24333,us_market,,1.586,,14.096,0.5340917,,12.76,,63000700,,,,52.44,4258293,0.067600004,,1609545600,1.02684,624099008,9.283,1,0.33635402,4.423532,0.00438,1672617600,,1626480000,7.19,1630368000,62209649,1.301058,17267220480,2,,1127692800,3:02,,1631750400,,-0.059,1.3423791,1632960000,1.44,,18.179466,,0.0764,3492266,,,,233.71,233.85,204.50424,0.007487912,0.1878,,235.32,,624416,233.71,211.72,1.75,233.85,,624416,,,4,1631750400,,,230.85,USD,24.98869,798882,,,,14614272000,,,583839,230.85,0,1100,798882,235.32,,0.31,142.59,0,FALSE,0.0172,800,235.32,231.97,,https://logo.clearbit.com/advanceautoparts.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95014,Technology,147000,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",Cupertino,408-996-1010,CA,United States,[],http://www.apple.com,1,One Apple Park Way,,Consumer Electronics,0.31955,0.25004,0.41005,1.04414E+11,0.364,0.28788,1.10935E+11,132,buy,1.04956E+11,80625876992,170,148.69,1,1.062,0.19302,40,168.89,210.782,1.27125,190,61696000000,1.35491E+11,3.47155E+11,3.732,USD,20.61,0.887,1.8,NMS,Apple Inc.,Apple Inc.,America/New_York,EDT,FALSE,-14400000,EQUITY,AAPL,finmb_24937,us_market,,7.293,,22.821,0.29239464,,5.68,,16530199552,,,,3.882,101107412,0.0061,,1601078400,0.58671004,86801997824,5.108,0.22,0.33635402,38.30242,0.00073,1664150400,,1624665600,1.18,1630368000,16513139929,1.222222,2.53167E+12,2,,1598832000,4:01,,1628208000,,0.932,7.080052,1632960000,1.34,,26.177818,,0.0061,96838699,,,,149.48,149.69,139.49467,0.005586032,0.16309999,,150.18,,68088783,149.48,145.9303,0.835,149.69,,68088783,,,0.88,1628208000,,,148.64,USD,29.109241,58883443,,,,2.45788E+12,,,75838454,148.64,0,3200,58883443,157.26,,1.24,107.32,0,FALSE,0.0059,2900,150.18,148.69,,https://logo.clearbit.com/apple.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92121,Real Estate,199,"American Assets Trust, Inc. is a full service, vertically integrated and self-administered real estate investment trust, or REIT, headquartered in San Diego, California. The company has over 50 years of experience in acquiring, improving, developing and managing premier office, retail, and residential properties throughout the United States in some of the nation's most dynamic, high-barrier-to-entry markets primarily in Southern California, Northern California, Oregon, Washington, Texas and Hawaii. The company's office portfolio comprises approximately 3.4 million rentable square feet, and its retail portfolio comprises approximately 3.1 million square feet. In addition, the company owns one mixed-use property (including approximately 97,000 rentable square feet of retail space and a 369-room all-suite hotel) and 2,112 multifamily units. In 2011, the company was formed to succeed to the real estate business of American Assets, Inc., a privately held corporation founded in 1967 and, as such, has significant experience, long-standing relationships and extensive knowledge of its core markets, submarkets and asset classes.",San Diego,858-350-2600,CA,United States,[],http://www.americanassetstrust.com,1,3420 Carmel Mountain Road,858-350-2620,REIT—Diversified,0.55764,0.05345,0.65256,134588992,0.117,0.24531999,189175008,33,hold,225477000,71413376,40.5,39.22,0.163,5.746,0.01766,5,39.8,136.904,0.01877,44,368265984,1680017024,339243008,6.09,USD,5.66,5.563,2.6,NYQ,"American Assets Trust, Inc.","American Assets Trust, Inc.",America/New_York,EDT,FALSE,-14400000,EQUITY,AAT,finmb_4368282,us_market,,10.786,,19.343,0.65625,,0.88,,60472100,,,,20.693,1159364,0.019199999,,1609372800,0.9838,18134000,0.302,0.3,0.33635402,1.8953269,0.013409999,1672444800,,1625011200,4.4,1630368000,52499428,1.258201,3659228416,2,,,,,1631059200,,0.168,6.9912004,1632960000,28.35,,44.568184,,0.0374,1257874,,,,39.12,39.32,37.144028,0.027096113,3.5333,,39.71,,170483,39.12,38.76882,1.06,39.32,,170483,,,1.2,1631059200,,,39.13,USD,129.86755,129155,,,,2371715840,,,233087,39.13,0,900,129155,40.62,,2.92,20.73,0,FALSE,0.0306,900,39.71,39.22,,https://logo.clearbit.com/americanassetstrust.com,Suite 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10577-2543,Industrials,4061,"Atlas Air Worldwide Holdings, Inc., through its subsidiaries, provides outsourced aircraft and aviation operating services. It operates through three segments: ACMI, Charter, and Dry Leasing. The company offers outsourced cargo and passenger aircraft operating solutions, including contractual service arrangements, such as the provision of aircraft; and value-added services, including crew, maintenance, and insurance to aircraft and other customers. It also provides cargo and passenger aircraft charter services to the U.S. Military Air Mobility Command, charter brokers, freight forwarders, direct shippers, airlines, sports teams and fans, and private charter customers; and cargo and passenger aircraft and engines dry leasing services. In addition, the company offers administrative and management support services, and flight simulator training services. It also serves express delivery providers, e-commerce retailers, and airlines. The company has operations in Africa, Asia, Australia, Europe, the Middle East, North America, and South America. Atlas Air Worldwide Holdings, Inc. was founded in 1992 and is headquartered in Purchase, New York.",Purchase,914 701 8000,NY,United States,[],http://www.atlasairworldwide.com,1,2000 Westchester Avenue,914 701 8333,Airports & Air Services,0.24258,0.12661,0.32998002,792257984,0.2,0.16093999,871843008,76,buy,1092115000,152069504,90,81.01,0.173,0.872,0.06048,7,93.71,108.326,0.20557,118,750161024,2704971008,3594093056,25.845,USD,129.47,0.79,2,NMS,Atlas Air Worldwide Holdings,"Atlas Air Worldwide Holdings, Inc.",America/New_York,EDT,FALSE,-14400000,EQUITY,AAWW,finmb_340272,us_market,,1.198,,4.939,0.30032098,,11.21,,29024900,,,,86.032,3696856,0.1274,,1609372800,1.10765,455064000,15.917,,0.33635402,0.9416264,0.065570004,1672444800,,1625011200,6.93,1630368000,25596176,1.204761,4306116096,2,,,,,,,0.357,0.6542144,1632960000,0.51,,7.2265835,,0.1696,3695975,,,,80.34,80.42,72.42237,,0,,82.34,,501916,80.34,78.740295,,80.42,,501916,,,,,,,80.42,USD,5.089527,530028,,,,2351307264,,,470682,80.42,0,800,530028,86.45,,,50.22,0,FALSE,,1300,82.34,81.01,,https://logo.clearbit.com/atlasairworldwide.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60064-6400,Healthcare,48000,"AbbVie Inc. discovers, develops, manufactures, and sells pharmaceuticals in the worldwide. The company offers HUMIRA, a therapy administered as an injection for autoimmune and intestinal BehÃ§et's diseases; SKYRIZI to treat moderate to severe plaque psoriasis in adults; RINVOQ, a JAK inhibitor for the treatment of moderate to severe active rheumatoid arthritis in adult patients; IMBRUVICA to treat adult patients with chronic lymphocytic leukemia (CLL), small lymphocytic lymphoma (SLL), mantle cell lymphoma, waldenstrÃ¶m's macroglobulinemia, marginal zone lymphoma, and chronic graft versus host disease; VENCLEXTA, a BCL-2 inhibitor used to treat adults with CLL or SLL; and MAVYRET to treat patients with chronic HCV genotype 1-6 infection. It also provides CREON, a pancreatic enzyme therapy for exocrine pancreatic insufficiency; Synthroid used in the treatment of hypothyroidism; AndroGel for males diagnosed with symptomatic low testosterone; Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation; Lupron for the palliative treatment of advanced prostate cancer, endometriosis and central precocious puberty, and patients with anemia caused by uterine fibroids; and Botox therapeutic. In addition, the company offers ORILISSA, a nonpeptide small molecule gonadotropin-releasing hormone antagonist for women with moderate to severe endometriosis pain; Duopa and Duodopa, a levodopa-carbidopa intestinal gel to treat Parkinson's disease; Lumigan/Ganfort, a bimatoprost ophthalmic solution for the reduction of elevated intraocular pressure (IOP) in patients with open angle glaucoma (OAG) or ocular hypertension; Ubrelvy to treat migraine with or without aura in adults; Alphagan/ Combigan, an alpha-adrenergic receptor agonist for the reduction of IOP in patients with OAG; and Restasis, a calcineurin inhibitor immunosuppressant to increase tear production. The company was incorporated in 2012 and is based in North Chicago, Illinois.",North Chicago,847 932 7900,IL,United States,[],http://www.abbvie.com,1,1 North Waukegan Road,,Drug Manufacturers—General,0.51499003,0.12401,0.68121004,20451000320,0.339,0.35173,27669999616,105,buy,31747000000,18179999744,129.5,109.14,,0.906,0.0794,22,127.01,652.342,0.48855,144,8600000512,82156003328,53729001472,4.867,USD,30.364,0.645,2,NYQ,AbbVie Inc.,AbbVie Inc.,America/New_York,EDT,FALSE,-14400000,EQUITY,ABBV,finmb_141885706,us_market,,4.959,,9.63,0.30052435,,13.95,,1767180032,,,,7.113,13666689,0.0077,,1609372800,0.68848,6597000192,3.708,1.3,0.33635402,15.343737,0.00123,1672444800,,1625011200,1.43,1630368000,1744096220,0.826984,2.66451E+11,2,,,,,1634169600,,,3.5896819,1632960000,1.87,,7.823656,,0.0077,13549109,,,,108.76,108.67,113.155396,0.046708345,1.3405,,109.22,,5375050,108.76,108.31206,5.08,108.67,,5375050,,,5.2,1634169600,,,108.31,USD,29.433657,4346878,,,,1.9287E+11,,,7141750,108.31,0,900,4346878,121.53,,4.26,79.11,0,FALSE,0.0476,2200,109.22,109.14,,https://logo.clearbit.com/abbvie.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19428-1800,Healthcare,41000,"AmerisourceBergen Corporation sources and distributes pharmaceutical products in the United States and internationally. Its Pharmaceutical Distribution segment distributes brand-name and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, outsourced compounded sterile preparations, and related services to various healthcare providers, including acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, long-term care and other alternate site pharmacies, and other customers. It also provides pharmacy management, staffing, and other consulting services; supply management software to retail and institutional healthcare providers; and packaging solutions to various institutional and retail healthcare providers. In addition, this segment distributes plasma and other blood products, injectable pharmaceuticals, vaccines, and other specialty products; provides other services primarily to physicians who specialize in various disease states, primarily oncology, as well as to other healthcare providers, including hospitals and dialysis clinics; and offers data analytics, outcomes research, and additional services for biotechnology and pharmaceutical manufacturers. The company's Other segment provides integrated manufacturer services, such as clinical trial support, product post-approval, and commercialization support; offers specialty transportation and logistics services for the biopharmaceutical industry; and sells pharmaceuticals, vaccines, parasiticides, diagnostics, micro feed ingredients, and various other products to customers in both the companion animal and production animal markets, as well as provides demand-creating sales force services to manufacturers. AmerisourceBergen Corporation was founded in 1985 and is headquartered in Conshohocken, Pennsylvania.",Conshohocken,610 727 7000,PA,United States,[],http://www.amerisourcebergen.com,1,1 West First Avenue,800 640 5221,Medical Distribution,0.015470001,-0.01832,0.0304,2956001024,0.177,0.01334,3160153088,125,buy,5188229000,2430685184,141,123.32,-0.007,0.941,0.03522,13,141.46,2054.661,-1.7075,165,2553217024,8392078848,2.04321E+11,12.288,USD,996.876,0.518,2.3,NYQ,AmerisourceBergen Corporation,AmerisourceBergen Corporation,America/New_York,EDT,FALSE,-14400000,EQUITY,ABC,finmb_24809,us_market,,0.156,,10.073,0.2536342,,10.57,,207787008,,,,0.183,1539069,0.0074,,1601424000,0.65655,-3743837952,-18.266,0.44,0.33635402,673.87976,0.28538,1664496000,,1625011200,2.17,1630368000,148432726,0.528571,31833649152,2,,1245110400,2:01,,1628812800,,0.009,0.12541182,1632960000,1.08,,11.666983,,0.010199999,1603737,,,,122.71,122.94,119.30935,0.014179774,,,123.67,,585950,122.71,121.48441,1.74,122.94,,585950,,,1.76,1628812800,,,122.7,USD,,364148,,,,25624293376,,,777573,122.7,0,1000,364148,128.87,,1.73,92.24,0,FALSE,0.0143,1300,123.67,123.32,,https://logo.clearbit.com/amerisourcebergen.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30097,Consumer Cyclical,7600,"Asbury Automotive Group, Inc., together with its subsidiaries, operates as an automotive retailer in the United States. It offers a range of automotive products and services, including new and used vehicles; and vehicle repair and maintenance services, replacement parts, and collision repair services. The company also provides finance and insurance products, including arranging vehicle financing through third parties; and aftermarket products, such as extended service contracts, guaranteed asset protection debt cancellation, prepaid maintenance, and credit life and disability insurance. As of December 31, 2020, the company owned and operated 112 new vehicle franchises representing 31 brands of automobiles at 91 dealership locations; and 25 collision centers in the United States. Asbury Automotive Group, Inc. was founded in 1996 and is headquartered in Duluth, Georgia.",Duluth,770 418 8200,GA,United States,[],http://www.asburyauto.com,1,"2905 Premiere Parkway, NW",,Auto & Truck Dealerships,0.06623,0.04246,0.17282,735600000,0.364,0.0612,511100000,205,buy,1223400000,474324992,230,228.03,3.733,1.256,0.08876,7,230.86,217.976,0.39508,296,27800000,2175399936,7717400064,1.437,USD,400.904,0.319,2.3,NYQ,Asbury Automotive Group Inc,"Asbury Automotive Group, Inc.",America/New_York,EDT,FALSE,-14400000,EQUITY,ABG,finmb_25109,us_market,,0.684,,10.334,,,16.84,,19339300,,,,51.605,1365609,0.0706,,1609372800,1.08342,327700000,16.953,,,4.418758,0.00918,1672444800,,1617148800,10.16,1619740800,17061136,1.598941,5281534464,2,,1245110400,1:02,,,,3.759,0.49799797,1622160000,0.4,,8.852097,,0.1137,1343977,,,,229.65,228.86,192.51805,,0,,230.965,,145933,229.65,196.35706,,228.86,,145933,,,,1217376000,,,226.01,USD,10.283202,187503,,,,4410419200,,,152278,226.01,0,800,187503,230.97,,,99.65,0,FALSE,,1100,230.965,228.03,,https://logo.clearbit.com/asburyauto.com,Suite 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10006,Industrials,100000,"ABM Industries Incorporated provides integrated facility solutions in the United States and internationally. The company operates through Business & Industry, Technology & Manufacturing, Education, Aviation, and Technical Solutions segments. It provides janitorial, facilities engineering, parking, custodial, landscaping and ground, and mechanical and electrical services; and vehicle maintenance and other services to rental car providers. The company was founded in 1909 and is headquartered in New York, New York.",New York,212 297 0200,NY,United States,[],http://www.abm.com,1,One Liberty Plaza,,Specialty Business Services,0.07772,0.02411,0.17138,457500000,0.107,0.06287,467700000,48,buy,898500000,588300032,59,44.52,,1.448,0.0625,4,62,51.522,0.09571999,82,505400000,814200000,6017600000,7.516,USD,89.548,1.319,2,NYQ,ABM Industries Incorporated,ABM Industries Incorporated,America/New_York,EDT,FALSE,-14400000,EQUITY,ABM,finmb_250079,us_market,,0.549,,7.061,0.24011147,,3.47,,67241104,,,,23.504,1441899,0.0214,,1604102400,0.95088,145100000,2.137,0.19,0.33635402,1.8941457,0.01208,1667174400,,1627689600,3.5,1630368000,63239616,1.40582,3302375424,2,,1020729600,2:01,,1633478400,,,0.49746972,1632960000,0.8,,12.829971,,0.0293,1432511,,,,45.11,45.14,47.85115,0.016736865,0.3507,,45.25,,249350,45.11,45.632355,0.755,45.14,,249350,,,0.76,1633478400,,,44.48,USD,20.832943,193435,,,,2993573888,,,380710,44.48,0,800,193435,55.48,,1.89,34.28,0,FALSE,0.0171,800,45.25,44.52,,https://logo.clearbit.com/abm.com,7th Floor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
